Vid,Cid,RepliesToId,Comments,uniqueId,videoWebUrl,clean_comments,tokens,tokens_no_stopwords,lemmatized,final_text
,6930752353511817222,,i can’t imagine going through that much school! you amaze me,,,i cant imagine going through that much school you amaze me,"['i', 'cant', 'imagine', 'going', 'through', 'that', 'much', 'school', 'you', 'amaze', 'me']","['cant', 'imagine', 'going', 'much', 'school', 'amaze']","['cant', 'imagine', 'going', 'much', 'school', 'amaze']",cant imagine going much school amaze
,6931018118408060934,,Umich represent,,,umich represent,"['umich', 'represent']","['umich', 'represent']","['umich', 'represent']",umich represent
,6931394769394843653,,im currently in a counseling PhD program and was feeling hopeless abt jobs outside of tenure track academia but this made me so happy to see!!,,,im currently in a counseling phd program and was feeling hopeless abt jobs outside of tenure track academia but this made me so happy to see,"['im', 'currently', 'in', 'a', 'counseling', 'phd', 'program', 'and', 'was', 'feeling', 'hopeless', 'abt', 'jobs', 'outside', 'of', 'tenure', 'track', 'academia', 'but', 'this', 'made', 'me', 'so', 'happy', 'to', 'see']","['im', 'currently', 'counseling', 'phd', 'program', 'feeling', 'hopeless', 'abt', 'jobs', 'outside', 'tenure', 'track', 'academia', 'made', 'happy', 'see']","['im', 'currently', 'counseling', 'phd', 'program', 'feeling', 'hopeless', 'abt', 'job', 'outside', 'tenure', 'track', 'academia', 'made', 'happy', 'see']",im currently counseling phd program feeling hopeless abt job outside tenure track academia made happy see
,6954217164300042246,,YOU ARE SO AWESOME!!,,,you are so awesome,"['you', 'are', 'so', 'awesome']",['awesome'],['awesome'],awesome
,6930817645558759430,,Yesssss Go Blue! 💙💛,,,yesssss go blue,"['yesssss', 'go', 'blue']","['yesssss', 'go', 'blue']","['yesssss', 'go', 'blue']",yesssss go blue
,7259536129731707690,,Thanks I needed this so much 🤍🤍,,,thanks i needed this so much,"['thanks', 'i', 'needed', 'this', 'so', 'much']","['thanks', 'needed', 'much']","['thanks', 'needed', 'much']",thanks needed much
,7259217303245734699,,Where did you get your shirt,,,where did you get your shirt,"['where', 'did', 'you', 'get', 'your', 'shirt']","['get', 'shirt']","['get', 'shirt']",get shirt
,7259432088917639963,,loving this 🥰,,,loving this,"['loving', 'this']",['loving'],['loving'],loving
,7261035103014175515,,"My Mil always says my kids shouldn't stomp when angry. It's ""disrespectful"" or smth... I'll absolutely let them do it from now on.",,,my mil always says my kids shouldnt stomp when angry its disrespectful or smth ill absolutely let them do it from now on,"['my', 'mil', 'always', 'says', 'my', 'kids', 'shouldnt', 'stomp', 'when', 'angry', 'its', 'disrespectful', 'or', 'smth', 'ill', 'absolutely', 'let', 'them', 'do', 'it', 'from', 'now', 'on']","['mil', 'always', 'says', 'kids', 'shouldnt', 'stomp', 'angry', 'disrespectful', 'smth', 'ill', 'absolutely', 'let']","['mil', 'always', 'say', 'kid', 'shouldnt', 'stomp', 'angry', 'disrespectful', 'smth', 'ill', 'absolutely', 'let']",mil always say kid shouldnt stomp angry disrespectful smth ill absolutely let
,7261237870207959854,,It’s their bodies / nervous systems naturally attempting to soothe. I think it’s important to teach a variety so they can have options!,,,its their bodies nervous systems naturally attempting to soothe i think its important to teach a variety so they can have options,"['its', 'their', 'bodies', 'nervous', 'systems', 'naturally', 'attempting', 'to', 'soothe', 'i', 'think', 'its', 'important', 'to', 'teach', 'a', 'variety', 'so', 'they', 'can', 'have', 'options']","['bodies', 'nervous', 'systems', 'naturally', 'attempting', 'soothe', 'think', 'important', 'teach', 'variety', 'options']","['body', 'nervous', 'system', 'naturally', 'attempting', 'soothe', 'think', 'important', 'teach', 'variety', 'option']",body nervous system naturally attempting soothe think important teach variety option
,7259608764379759406,,i do bamboo sways literally all the time,,,i do bamboo sways literally all the time,"['i', 'do', 'bamboo', 'sways', 'literally', 'all', 'the', 'time']","['bamboo', 'sways', 'literally', 'time']","['bamboo', 'sway', 'literally', 'time']",bamboo sway literally time
,7259404757536654122,,Your content helps. Thank you.,,,your content helps thank you,"['your', 'content', 'helps', 'thank', 'you']","['content', 'helps', 'thank']","['content', 'help', 'thank']",content help thank
,7259761353304638251,,The feeling of knowing when you did this as a child to self soothe you were scolded,,,the feeling of knowing when you did this as a child to self soothe you were scolded,"['the', 'feeling', 'of', 'knowing', 'when', 'you', 'did', 'this', 'as', 'a', 'child', 'to', 'self', 'soothe', 'you', 'were', 'scolded']","['feeling', 'knowing', 'child', 'self', 'soothe', 'scolded']","['feeling', 'knowing', 'child', 'self', 'soothe', 'scolded']",feeling knowing child self soothe scolded
,7259577116554330923,,Watching you do this made me a little emotional tbh,,,watching you do this made me a little emotional tbh,"['watching', 'you', 'do', 'this', 'made', 'me', 'a', 'little', 'emotional', 'tbh']","['watching', 'made', 'little', 'emotional', 'tbh']","['watching', 'made', 'little', 'emotional', 'tbh']",watching made little emotional tbh
,7259486633538650926,,love this ❤️,,,love this,"['love', 'this']",['love'],['love'],love
,7028394385500013358,,I can never get past past side effects.,,,i can never get past past side effects,"['i', 'can', 'never', 'get', 'past', 'past', 'side', 'effects']","['never', 'get', 'past', 'past', 'side', 'effects']","['never', 'get', 'past', 'past', 'side', 'effect']",never get past past side effect
,7028722264627856129,,"I’m on LexaPro. I want to get off it, as I’m also on Seremind which is more natural",,,im on lexapro i want to get off it as im also on seremind which is more natural,"['im', 'on', 'lexapro', 'i', 'want', 'to', 'get', 'off', 'it', 'as', 'im', 'also', 'on', 'seremind', 'which', 'is', 'more', 'natural']","['im', 'lexapro', 'want', 'get', 'im', 'also', 'seremind', 'natural']","['im', 'lexapro', 'want', 'get', 'im', 'also', 'seremind', 'natural']",im lexapro want get im also seremind natural
,7028376608458097455,,Everyone is different but my medication has saved my life,,,everyone is different but my medication has saved my life,"['everyone', 'is', 'different', 'but', 'my', 'medication', 'has', 'saved', 'my', 'life']","['everyone', 'different', 'medication', 'saved', 'life']","['everyone', 'different', 'medication', 'saved', 'life']",everyone different medication saved life
,7028597687503160069,,I gained 35kg due to antidepressants.. won’t ever touch that stuff again,,,i gained kg due to antidepressants wont ever touch that stuff again,"['i', 'gained', 'kg', 'due', 'to', 'antidepressants', 'wont', 'ever', 'touch', 'that', 'stuff', 'again']","['gained', 'kg', 'due', 'antidepressants', 'wont', 'ever', 'touch', 'stuff']","['gained', 'kg', 'due', 'antidepressant', 'wont', 'ever', 'touch', 'stuff']",gained kg due antidepressant wont ever touch stuff
,7028306398333698863,,yeah but when you're ready to jump off a skyscraper you can't wait for them effects to take place😳,,,yeah but when youre ready to jump off a skyscraper you cant wait for them effects to take place,"['yeah', 'but', 'when', 'youre', 'ready', 'to', 'jump', 'off', 'a', 'skyscraper', 'you', 'cant', 'wait', 'for', 'them', 'effects', 'to', 'take', 'place']","['yeah', 'youre', 'ready', 'jump', 'skyscraper', 'cant', 'wait', 'effects', 'take', 'place']","['yeah', 'youre', 'ready', 'jump', 'skyscraper', 'cant', 'wait', 'effect', 'take', 'place']",yeah youre ready jump skyscraper cant wait effect take place
,7030493570583446278,,"Highly addictive all of them , hundred precent. Tried and applied , there’s no need to convince me otherwise.",,,highly addictive all of them hundred precent tried and applied theres no need to convince me otherwise,"['highly', 'addictive', 'all', 'of', 'them', 'hundred', 'precent', 'tried', 'and', 'applied', 'theres', 'no', 'need', 'to', 'convince', 'me', 'otherwise']","['highly', 'addictive', 'hundred', 'precent', 'tried', 'applied', 'theres', 'need', 'convince', 'otherwise']","['highly', 'addictive', 'hundred', 'precent', 'tried', 'applied', 'there', 'need', 'convince', 'otherwise']",highly addictive hundred precent tried applied there need convince otherwise
,7035034482327732997,,what if the 'side effects' are just getting worse and worse? I told my psychiatrist and she just says to take more and more pills. idk what to do...,,,what if the side effects are just getting worse and worse i told my psychiatrist and she just says to take more and more pills idk what to do,"['what', 'if', 'the', 'side', 'effects', 'are', 'just', 'getting', 'worse', 'and', 'worse', 'i', 'told', 'my', 'psychiatrist', 'and', 'she', 'just', 'says', 'to', 'take', 'more', 'and', 'more', 'pills', 'idk', 'what', 'to', 'do']","['side', 'effects', 'getting', 'worse', 'worse', 'told', 'psychiatrist', 'says', 'take', 'pills', 'idk']","['side', 'effect', 'getting', 'worse', 'worse', 'told', 'psychiatrist', 'say', 'take', 'pill', 'idk']",side effect getting worse worse told psychiatrist say take pill idk
,7029197582031749894,,Don’t take em,,,dont take em,"['dont', 'take', 'em']","['dont', 'take', 'em']","['dont', 'take', 'em']",dont take em
,7044744196234363654,,my adhd makes me forget it even with a timer,,,my adhd makes me forget it even with a timer,"['my', 'adhd', 'makes', 'me', 'forget', 'it', 'even', 'with', 'a', 'timer']","['adhd', 'makes', 'forget', 'even', 'timer']","['adhd', 'make', 'forget', 'even', 'timer']",adhd make forget even timer
,7028377742245004037,,Wait I have a question - I started taking antidepressants and I had a situation where my brain new I was having panic attack but my body wasn't (1),,,wait i have a question i started taking antidepressants and i had a situation where my brain new i was having panic attack but my body wasnt,"['wait', 'i', 'have', 'a', 'question', 'i', 'started', 'taking', 'antidepressants', 'and', 'i', 'had', 'a', 'situation', 'where', 'my', 'brain', 'new', 'i', 'was', 'having', 'panic', 'attack', 'but', 'my', 'body', 'wasnt']","['wait', 'question', 'started', 'taking', 'antidepressants', 'situation', 'brain', 'new', 'panic', 'attack', 'body', 'wasnt']","['wait', 'question', 'started', 'taking', 'antidepressant', 'situation', 'brain', 'new', 'panic', 'attack', 'body', 'wasnt']",wait question started taking antidepressant situation brain new panic attack body wasnt
,7068649515607556910,,This algorithm is wild.,,,this algorithm is wild,"['this', 'algorithm', 'is', 'wild']","['algorithm', 'wild']","['algorithm', 'wild']",algorithm wild
,7066270290020631343,,"that's why I own a pistol, my escape plan. use in case of zombie apocalypse, cancer, Trump gets reelected, etc...",,,thats why i own a pistol my escape plan use in case of zombie apocalypse cancer trump gets reelected etc,"['thats', 'why', 'i', 'own', 'a', 'pistol', 'my', 'escape', 'plan', 'use', 'in', 'case', 'of', 'zombie', 'apocalypse', 'cancer', 'trump', 'gets', 'reelected', 'etc']","['thats', 'pistol', 'escape', 'plan', 'use', 'case', 'zombie', 'apocalypse', 'cancer', 'trump', 'gets', 'reelected', 'etc']","['thats', 'pistol', 'escape', 'plan', 'use', 'case', 'zombie', 'apocalypse', 'cancer', 'trump', 'get', 'reelected', 'etc']",thats pistol escape plan use case zombie apocalypse cancer trump get reelected etc
,7068104866576728878,,tiktok getting too personal 😳,,,tiktok getting too personal,"['tiktok', 'getting', 'too', 'personal']","['tiktok', 'getting', 'personal']","['tiktok', 'getting', 'personal']",tiktok getting personal
,7066143916634440450,,Secret plan B,,,secret plan b,"['secret', 'plan', 'b']","['secret', 'plan', 'b']","['secret', 'plan', 'b']",secret plan b
,7491820032570196766,,"I have this along with Anhedonia, it’s a side effect of being on antidepressants for 30+ years. I’m just in a constant state of blah.",,,i have this along with anhedonia its a side effect of being on antidepressants for years im just in a constant state of blah,"['i', 'have', 'this', 'along', 'with', 'anhedonia', 'its', 'a', 'side', 'effect', 'of', 'being', 'on', 'antidepressants', 'for', 'years', 'im', 'just', 'in', 'a', 'constant', 'state', 'of', 'blah']","['along', 'anhedonia', 'side', 'effect', 'antidepressants', 'years', 'im', 'constant', 'state', 'blah']","['along', 'anhedonia', 'side', 'effect', 'antidepressant', 'year', 'im', 'constant', 'state', 'blah']",along anhedonia side effect antidepressant year im constant state blah
,7066250236876456710,,"If my husband, mom and cats go first, then I'll sell everything, travel until money runs out and I'll be out too.",,,if my husband mom and cats go first then ill sell everything travel until money runs out and ill be out too,"['if', 'my', 'husband', 'mom', 'and', 'cats', 'go', 'first', 'then', 'ill', 'sell', 'everything', 'travel', 'until', 'money', 'runs', 'out', 'and', 'ill', 'be', 'out', 'too']","['husband', 'mom', 'cats', 'go', 'first', 'ill', 'sell', 'everything', 'travel', 'money', 'runs', 'ill']","['husband', 'mom', 'cat', 'go', 'first', 'ill', 'sell', 'everything', 'travel', 'money', 'run', 'ill']",husband mom cat go first ill sell everything travel money run ill
,7068533205292335919,,It’s just my ✨ sparkle ✨,,,its just my sparkle,"['its', 'just', 'my', 'sparkle']",['sparkle'],['sparkle'],sparkle
,7066321733385077550,,"My buddy took his life in 2021. He spoke passively about it for a couple years. He got help & was doing better, or so we thought. Tragic & traumatic😢",,,my buddy took his life in he spoke passively about it for a couple years he got help was doing better or so we thought tragic traumatic,"['my', 'buddy', 'took', 'his', 'life', 'in', 'he', 'spoke', 'passively', 'about', 'it', 'for', 'a', 'couple', 'years', 'he', 'got', 'help', 'was', 'doing', 'better', 'or', 'so', 'we', 'thought', 'tragic', 'traumatic']","['buddy', 'took', 'life', 'spoke', 'passively', 'couple', 'years', 'got', 'help', 'better', 'thought', 'tragic', 'traumatic']","['buddy', 'took', 'life', 'spoke', 'passively', 'couple', 'year', 'got', 'help', 'better', 'thought', 'tragic', 'traumatic']",buddy took life spoke passively couple year got help better thought tragic traumatic
,7066495000997561090,,fyp's getting more specific huh 💀💀,,,fyps getting more specific huh,"['fyps', 'getting', 'more', 'specific', 'huh']","['fyps', 'getting', 'specific', 'huh']","['fyps', 'getting', 'specific', 'huh']",fyps getting specific huh
,7071217816720130859,,the fyp is getting a little to personal,,,the fyp is getting a little to personal,"['the', 'fyp', 'is', 'getting', 'a', 'little', 'to', 'personal']","['fyp', 'getting', 'little', 'personal']","['fyp', 'getting', 'little', 'personal']",fyp getting little personal
,7274604553026175786,,Recently stopped taking my meds cause they made me physically ill. My psychiatrist said I had to choose between being physically or mentally well.,,,recently stopped taking my meds cause they made me physically ill my psychiatrist said i had to choose between being physically or mentally well,"['recently', 'stopped', 'taking', 'my', 'meds', 'cause', 'they', 'made', 'me', 'physically', 'ill', 'my', 'psychiatrist', 'said', 'i', 'had', 'to', 'choose', 'between', 'being', 'physically', 'or', 'mentally', 'well']","['recently', 'stopped', 'taking', 'meds', 'cause', 'made', 'physically', 'ill', 'psychiatrist', 'said', 'choose', 'physically', 'mentally', 'well']","['recently', 'stopped', 'taking', 'med', 'cause', 'made', 'physically', 'ill', 'psychiatrist', 'said', 'choose', 'physically', 'mentally', 'well']",recently stopped taking med cause made physically ill psychiatrist said choose physically mentally well
,7272744135854031662,,"This was my experience. Heavily medicated for having CPTSD. I wasn’t broken, I was responding to other peoples unresolved mental illness and abuse.",,,this was my experience heavily medicated for having cptsd i wasnt broken i was responding to other peoples unresolved mental illness and abuse,"['this', 'was', 'my', 'experience', 'heavily', 'medicated', 'for', 'having', 'cptsd', 'i', 'wasnt', 'broken', 'i', 'was', 'responding', 'to', 'other', 'peoples', 'unresolved', 'mental', 'illness', 'and', 'abuse']","['experience', 'heavily', 'medicated', 'cptsd', 'wasnt', 'broken', 'responding', 'peoples', 'unresolved', 'mental', 'illness', 'abuse']","['experience', 'heavily', 'medicated', 'cptsd', 'wasnt', 'broken', 'responding', 'people', 'unresolved', 'mental', 'illness', 'abuse']",experience heavily medicated cptsd wasnt broken responding people unresolved mental illness abuse
,7272823297871807265,,are you sure that's not the mania dancin' there?,,,are you sure thats not the mania dancin there,"['are', 'you', 'sure', 'thats', 'not', 'the', 'mania', 'dancin', 'there']","['sure', 'thats', 'mania', 'dancin']","['sure', 'thats', 'mania', 'dancin']",sure thats mania dancin
,7272811335312769824,,"it's great to hear a psychiatrist say this, I'm tired of professionals acting like I'm refusing help when I just dont want to be a guinea pig",,,its great to hear a psychiatrist say this im tired of professionals acting like im refusing help when i just dont want to be a guinea pig,"['its', 'great', 'to', 'hear', 'a', 'psychiatrist', 'say', 'this', 'im', 'tired', 'of', 'professionals', 'acting', 'like', 'im', 'refusing', 'help', 'when', 'i', 'just', 'dont', 'want', 'to', 'be', 'a', 'guinea', 'pig']","['great', 'hear', 'psychiatrist', 'say', 'im', 'tired', 'professionals', 'acting', 'like', 'im', 'refusing', 'help', 'dont', 'want', 'guinea', 'pig']","['great', 'hear', 'psychiatrist', 'say', 'im', 'tired', 'professional', 'acting', 'like', 'im', 'refusing', 'help', 'dont', 'want', 'guinea', 'pig']",great hear psychiatrist say im tired professional acting like im refusing help dont want guinea pig
,7272815024471966497,,This is why I refused meds. 3 years of hard work on myself & I’m happier than ever ✨,,,this is why i refused meds years of hard work on myself im happier than ever,"['this', 'is', 'why', 'i', 'refused', 'meds', 'years', 'of', 'hard', 'work', 'on', 'myself', 'im', 'happier', 'than', 'ever']","['refused', 'meds', 'years', 'hard', 'work', 'im', 'happier', 'ever']","['refused', 'med', 'year', 'hard', 'work', 'im', 'happier', 'ever']",refused med year hard work im happier ever
,7272902676756087598,,"Some of us actually just don’t make enough brain chemicals, and that’s okay",,,some of us actually just dont make enough brain chemicals and thats okay,"['some', 'of', 'us', 'actually', 'just', 'dont', 'make', 'enough', 'brain', 'chemicals', 'and', 'thats', 'okay']","['us', 'actually', 'dont', 'make', 'enough', 'brain', 'chemicals', 'thats', 'okay']","['u', 'actually', 'dont', 'make', 'enough', 'brain', 'chemical', 'thats', 'okay']",u actually dont make enough brain chemical thats okay
,7272903761855578926,,This is sadly a myth that has been disproven. It’s still ok! But it’s not due to lack of brain chemicals. 💚💚💚,,,this is sadly a myth that has been disproven its still ok but its not due to lack of brain chemicals,"['this', 'is', 'sadly', 'a', 'myth', 'that', 'has', 'been', 'disproven', 'its', 'still', 'ok', 'but', 'its', 'not', 'due', 'to', 'lack', 'of', 'brain', 'chemicals']","['sadly', 'myth', 'disproven', 'still', 'ok', 'due', 'lack', 'brain', 'chemicals']","['sadly', 'myth', 'disproven', 'still', 'ok', 'due', 'lack', 'brain', 'chemical']",sadly myth disproven still ok due lack brain chemical
,7272969357897745195,,Exactly. Society’s structures are sick.,,,exactly societys structures are sick,"['exactly', 'societys', 'structures', 'are', 'sick']","['exactly', 'societys', 'structures', 'sick']","['exactly', 'society', 'structure', 'sick']",exactly society structure sick
,7273105126666273568,,im actually quite proud that i experienced nearly every Form of abuse and Trauma from an early age but never needed meds To function,,,im actually quite proud that i experienced nearly every form of abuse and trauma from an early age but never needed meds to function,"['im', 'actually', 'quite', 'proud', 'that', 'i', 'experienced', 'nearly', 'every', 'form', 'of', 'abuse', 'and', 'trauma', 'from', 'an', 'early', 'age', 'but', 'never', 'needed', 'meds', 'to', 'function']","['im', 'actually', 'quite', 'proud', 'experienced', 'nearly', 'every', 'form', 'abuse', 'trauma', 'early', 'age', 'never', 'needed', 'meds', 'function']","['im', 'actually', 'quite', 'proud', 'experienced', 'nearly', 'every', 'form', 'abuse', 'trauma', 'early', 'age', 'never', 'needed', 'med', 'function']",im actually quite proud experienced nearly every form abuse trauma early age never needed med function
,7273055060932887328,,The only one I may disagree with you on is bipolar just because of how dangerous mania is bit I respect your pov,,,the only one i may disagree with you on is bipolar just because of how dangerous mania is bit i respect your pov,"['the', 'only', 'one', 'i', 'may', 'disagree', 'with', 'you', 'on', 'is', 'bipolar', 'just', 'because', 'of', 'how', 'dangerous', 'mania', 'is', 'bit', 'i', 'respect', 'your', 'pov']","['one', 'may', 'disagree', 'bipolar', 'dangerous', 'mania', 'bit', 'respect', 'pov']","['one', 'may', 'disagree', 'bipolar', 'dangerous', 'mania', 'bit', 'respect', 'pov']",one may disagree bipolar dangerous mania bit respect pov
,7461598222436762375,,is it just me who came from that one video 😭,,,is it just me who came from that one video,"['is', 'it', 'just', 'me', 'who', 'came', 'from', 'that', 'one', 'video']","['came', 'one', 'video']","['came', 'one', 'video']",came one video
,7474714168776475438,,The Millenial pause 😭,,,the millenial pause,"['the', 'millenial', 'pause']","['millenial', 'pause']","['millenial', 'pause']",millenial pause
,7488725847538959126,,anyone else see a minecraft villager,,,anyone else see a minecraft villager,"['anyone', 'else', 'see', 'a', 'minecraft', 'villager']","['anyone', 'else', 'see', 'minecraft', 'villager']","['anyone', 'else', 'see', 'minecraft', 'villager']",anyone else see minecraft villager
,7468515362134868782,,You have described my whole life since age 5. I am 53 now.,,,you have described my whole life since age i am now,"['you', 'have', 'described', 'my', 'whole', 'life', 'since', 'age', 'i', 'am', 'now']","['described', 'whole', 'life', 'since', 'age']","['described', 'whole', 'life', 'since', 'age']",described whole life since age
,7491899409909154606,,Anyone coming from the is wasn’t water video,,,anyone coming from the is wasnt water video,"['anyone', 'coming', 'from', 'the', 'is', 'wasnt', 'water', 'video']","['anyone', 'coming', 'wasnt', 'water', 'video']","['anyone', 'coming', 'wasnt', 'water', 'video']",anyone coming wasnt water video
,7480230647945249566,,Years of drug and alcohol abuse has numbed me to vomiting. I get it out and keep moving.,,,years of drug and alcohol abuse has numbed me to vomiting i get it out and keep moving,"['years', 'of', 'drug', 'and', 'alcohol', 'abuse', 'has', 'numbed', 'me', 'to', 'vomiting', 'i', 'get', 'it', 'out', 'and', 'keep', 'moving']","['years', 'drug', 'alcohol', 'abuse', 'numbed', 'vomiting', 'get', 'keep', 'moving']","['year', 'drug', 'alcohol', 'abuse', 'numbed', 'vomiting', 'get', 'keep', 'moving']",year drug alcohol abuse numbed vomiting get keep moving
,7472532070595625733,,emetophobia guys here,,,emetophobia guys here,"['emetophobia', 'guys', 'here']","['emetophobia', 'guys']","['emetophobia', 'guy']",emetophobia guy
,7453575981024166699,,"Yep, I’m diagnosing myself with this 😬",,,yep im diagnosing myself with this,"['yep', 'im', 'diagnosing', 'myself', 'with', 'this']","['yep', 'im', 'diagnosing']","['yep', 'im', 'diagnosing']",yep im diagnosing
,7462946611096027950,,I’m so scared of vomiting,,,im so scared of vomiting,"['im', 'so', 'scared', 'of', 'vomiting']","['im', 'scared', 'vomiting']","['im', 'scared', 'vomiting']",im scared vomiting
,7453534278459999009,,im literally gagging if i see someone else trow up,,,im literally gagging if i see someone else trow up,"['im', 'literally', 'gagging', 'if', 'i', 'see', 'someone', 'else', 'trow', 'up']","['im', 'literally', 'gagging', 'see', 'someone', 'else', 'trow']","['im', 'literally', 'gagging', 'see', 'someone', 'else', 'trow']",im literally gagging see someone else trow
,7367501112679514911,,would love a video on habitual smokes,,,would love a video on habitual smokes,"['would', 'love', 'a', 'video', 'on', 'habitual', 'smokes']","['would', 'love', 'video', 'habitual', 'smokes']","['would', 'love', 'video', 'habitual', 'smoke']",would love video habitual smoke
,7367579468020040490,,Will do!,,,will do,"['will', 'do']",[],[],
,7367421071799452462,,Ok but what if you’re already a every day smoker and then get on Lexapro,,,ok but what if youre already a every day smoker and then get on lexapro,"['ok', 'but', 'what', 'if', 'youre', 'already', 'a', 'every', 'day', 'smoker', 'and', 'then', 'get', 'on', 'lexapro']","['ok', 'youre', 'already', 'every', 'day', 'smoker', 'get', 'lexapro']","['ok', 'youre', 'already', 'every', 'day', 'smoker', 'get', 'lexapro']",ok youre already every day smoker get lexapro
,7367760146209309470,,Then there won’t be the sudden change in blood level that I discuss here if you have stable amounts of CBD entering your system.,,,then there wont be the sudden change in blood level that i discuss here if you have stable amounts of cbd entering your system,"['then', 'there', 'wont', 'be', 'the', 'sudden', 'change', 'in', 'blood', 'level', 'that', 'i', 'discuss', 'here', 'if', 'you', 'have', 'stable', 'amounts', 'of', 'cbd', 'entering', 'your', 'system']","['wont', 'sudden', 'change', 'blood', 'level', 'discuss', 'stable', 'amounts', 'cbd', 'entering', 'system']","['wont', 'sudden', 'change', 'blood', 'level', 'discus', 'stable', 'amount', 'cbd', 'entering', 'system']",wont sudden change blood level discus stable amount cbd entering system
,7367383677889119006,,I smoked habitually before I got on Lexapro and I never really experienced issues maybe some dosing changes but that's about it,,,i smoked habitually before i got on lexapro and i never really experienced issues maybe some dosing changes but thats about it,"['i', 'smoked', 'habitually', 'before', 'i', 'got', 'on', 'lexapro', 'and', 'i', 'never', 'really', 'experienced', 'issues', 'maybe', 'some', 'dosing', 'changes', 'but', 'thats', 'about', 'it']","['smoked', 'habitually', 'got', 'lexapro', 'never', 'really', 'experienced', 'issues', 'maybe', 'dosing', 'changes', 'thats']","['smoked', 'habitually', 'got', 'lexapro', 'never', 'really', 'experienced', 'issue', 'maybe', 'dosing', 'change', 'thats']",smoked habitually got lexapro never really experienced issue maybe dosing change thats
