Vid,Cid,RepliesToId,Comments,uniqueId,videoWebUrl
,7.47769E+18,,THANK YOU.🥰,,
,7.28183E+18,,Most patients sure lean backwards till back flow into throat 😂,,
,7.28168E+18,,Thank Dr🥰,,
,7.28274E+18,,Tq for showing the correct way.,,
,7.28169E+18,,👍,,
,7.28167E+18,,👍💖,,
,7.28195E+18,,Good clear explanation and will like to hear from u for more treatment knowledge,,
,7.28165E+18,,Dr. Suzie is the best! Hi Doc Suzie 🙋‍♂️,,
,7.2823E+18,,Thanks 😃,,
,7.28098E+18,,🙏,,
,7.28165E+18,,❤️,,
,7.49136E+18,,Kindly reach out to Gary Brecka for more guidance! @Gary Brecka,,
,7.47331E+18,,And this is what all medical computer systems actually does have… it’s under different layers within the hospital system.. hence why each person has a unique number.,,
,7.4809E+18,,This is the sadness thing!,,
,7.47421E+18,,Imagine a world where there was no more profiting from the suffering of others! Instead were in our glee to share what we knew or had! Because we fully understood that that we are even more than brother and sister! 💜,,
,7.47431E+18,,I added you because you mak e sense!… the big Pharma companies don’t make sense they make dollars!,,
,7.47449E+18,,This guy is so good 💪🙏🏻🔥,,
,7.47357E+18,,What a shame 😞,,
,7.47367E+18,,😁😁😁,,
,7.4808E+18,,👍👍👍👍👍♥️,,
,7.47347E+18,,❤️❤️❤️,,
,7.25966E+18,,I’m my own worst enemy. I do this all.,,
,7.26186E+18,,Is this oppenhemer ?,,
,7.25644E+18,,3/3 perfect score 🏆,,
,7.26143E+18,,Jumping to conclusions is the only cardio I get tho.,,
,7.25648E+18,,"im glad you appeared on ym fyp. I've been stressing myself so much I basically ruined my whole weekend
thank you",,
,7.26035E+18,,"Yeah tell me more, I have bpd",,
,7.257E+18,,overexagerating is also known as 'catastrophizing' 😊,,
,7.25648E+18,,We all have to come together how do we stop it 😩😩😭,,
,7.25644E+18,,The rating thing is so helpful,,
,7.25651E+18,,I’ve gained this though my toxic relationships through out my previous years. I’m trying to change my thinking habits but some days it’s just to hard.,,
,7.4784E+18,,thank you,,
,7.42833E+18,,Do you deliver to Europe?❤️,,
,7.42983E+18,,Yes!!,,
,7.42463E+18,,Preordering NOW❗️been wanting a book like this - you’re an angel for writing something to help us all!! Please cover retroactive jealousy if you could?? Love your content!,,
,7.42468E+18,,Yay! Can’t wait for you to receive it ❤️,,
,7.46E+18,,"Does this book touch on comparing to other relationships, books/movies or social media? I’m struggling with that.",,
,7.46E+18,,"It does! There is an entire chapter on comparison and it touches on all 3 of those things! (including ways to shift out of comparison, of course). Wishing you peace and healing 💕",,
,7.4552E+18,,"We need a video on blushing and face flushing! Literally every time someone talks to me or asks me a question, I flush! I’m not embarrassed about anything in that moment. It’s insane!",,
,7.42469E+18,,Ordering! LOVE your work,,
,7.42655E+18,,Thanks for the support! Excited for you to read it 🤗,,
,7.49253E+18,,Yes this!! This is the worst thing about my OCD because you have to get it perfect in your head or you continue to think about it.,,
,7.49482E+18,,False memories after drinking are the WORST,,
,7.49161E+18,,🤔 I wonder if the constant thoughts lately could be ocd…… could someone get this during or after a pregnancy?,,
,7.49486E+18,,Truth!!!,,
,7.49118E+18,,"like making sure you didn't run anything over. yeah, there wasn't an accident or turn around again to make sure you didn't run anyone over",,
,7.49102E+18,,"Totally, also constantly checking social media and messages that I haven’t shared or text something unwanted",,
,7.49093E+18,,I didn’t even realize that these behaviors were related to my OCD 😳,,
,7.4914E+18,,thank you dr,,
,7.49088E+18,,It's the worst.,,
,7.28301E+18,,"That is called vegetative dystonia,it applies to people with stress,anxiety etc 😕💐",,
,7.28314E+18,,"Does it affect shoulder, too?🥺",,
,7.28574E+18,,Can it be the right arm too?,,
,7.30886E+18,,Omg I’m not alone 😩. But how to get rid of it! This can’t be life,,
,7.28331E+18,,I've been dealing with this since i was 15. can it be deadly? sometimes it feels like I'm about to have a heart attack,,
,7.30952E+18,,i just started getting left arms numb & tingling like a couple months ago & i hate it 😩,,
,7.3155E+18,,I’ve been to the emergency room 3xs this year thinking I was having a heart attack 😢,,
,7.28595E+18,,This happened to me &I had every symptom of a attack. Drs said it was severe anxiety/panic attack. told me to be careful or I will end up w/a real 1,,
,7.28368E+18,,which doctor can you get all the stress and anxiety symptoms or whatsoever checked?,,
,7.28302E+18,,the left arm pain attacks me everytime and heart palpitations i thought i had a stroke,,
,7.18309E+18,,randomly came across this tonight whilst I'm in bed thinking I've been having a heart attack for 3 days ! I need to chill out. thank you x,,
,7.17456E+18,,That makes so much sense. For someone that has complained of this for almost 18 years to doctors-Thank You!,,
,7.19824E+18,,is it normal to be physically sick from anxiety ?,,
,7.1656E+18,,"I learned this out 2 days ago when I was rushed to the ER. 😂 Not very funny, but now I know... 😏",,
,7.16563E+18,,Omg it’s scary! It’s like you hear my thoughts when I’m anxious! Love your page 🥰,,
,7.1691E+18,,Do you see patients virtually??,,
,7.16745E+18,,"Wow, honestly always just thought it was my mind messing with me.",,
,7.18309E+18,,At least I know I’m not the only one now…..😬,,
,7.16751E+18,,Thank you,,
,7.16717E+18,,Sometimes I feel like TikTok is inside of my brain. I was just getting anxious over this 5 minutes ago.,,
,7.11516E+18,,"Honestly, this needs to be taught in schools",,
,7.11516E+18,,💯,,
,7.16217E+18,,Great advice and tips!,,
,7.1153E+18,,What’s the ice for?,,
,7.14363E+18,,I CANT TEXT WILE HAVING A PANIC ATTACK,,
,7.29228E+18,,I've also done the dart your eyes back and forth and keep repeating there is no danger over and over then I am safe,,
,7.13476E+18,,I did this once to ask for help from a friend and they where like ‘oh no’ and then ghosted me for three hours,,
,7.11579E+18,,The fact that my friend just said „Lmao” when i told him i have a panic attack hurts me,,
,7.11516E+18,,honestly I feel telling someone to breathe doesn't work. what I do is tell them to pick an object around them and describe it to me in great detail-,,
,7.1166E+18,,This is such a great technique! Thank you for sharing! 👍🏽,,
,6.97711E+18,,Okay but not getting invited places as a teenager cut me WAY DEEPER than some of my adult problems,,
,6.97719E+18,,Yes!! Could not agree more,,
,6.97711E+18,,"That's why I loved my therapist, she would never invalidate my feelings so I felt really confident talking about it",,
,6.97712E+18,,"i'm 22 with like ""real"" problems now and it still doesn't compare to how i felt 14-17......more people like you❤️❤️❤️",,
,6.97719E+18,,Right!! Being a teen is so hard!,,
,6.97747E+18,,"I was getting mad mad cuz I thought she was about to mock, but I was blissfully wring 🥰",,
,6.97721E+18,,It really is rough but then you grow up and it’s…different haha,,
,6.98007E+18,,i dont want to go to a therapist because im worried about the opposite happening,,
,6.97712E+18,,I wish my therapist was like this,,
,6.97716E+18,,That’s why I love my therapist,,
,7.03301E+18,,Can you do more types of these videos?,,
,7.01926E+18,,This is the only thing from tiktok that’s ever worked in my life 🥰,,
,6.99599E+18,,Ty for this.,,
,6.98761E+18,,see i would do that but i don’t have the energy to get up,,
,6.99714E+18,,set a alarm,,
,6.996E+18,,wait you’re right why did that never occur to me,,
,6.99717E+18,,I never brush my teeth before I go to bed. I brush them for 5 minutes at 10am and I brush them at 6pm,,
,6.99836E+18,,I- What i don't uhgg,,
,7.01308E+18,,this is so smart,,
,6.98765E+18,,I just realized this with washing my face!!,,
,7.45955E+18,,I have both your books xx,,
,7.44403E+18,,how do I order?,,
,7.46906E+18,,I have ordered this today. I'm hopeful x,,
,7.45802E+18,,I'm going to get this book.Where can I get this?,,
,7.43905E+18,,I’m in the eye of the storm right now.,,
,7.49529E+18,,Your amazing and that book of your helped me getting through a hard time. Thank you ❤️❤️❤️,,
,7.46731E+18,,To be fair I love the tools you gave us with the first book 😁,,
,7.44072E+18,,"is that book the ""why has nobody told me this before?"" i have it if so 😄",,
,7.43906E+18,,Your book is on my wishlist 🙏🏻 will it also be available in Dutch? 🤗,,
,7.43906E+18,,I tried finding the book but couldn't. I'm based in South Africa and not sure if it's here yet. Please let me know....,,
,7.47724E+18,,Point three is so true!,,
,7.47464E+18,,"i started therapy when i was ready for it, and it was the best decision of my life 🥹",,
,7.47538E+18,,This is beautiful 🫶🏾,,
,7.44137E+18,,Easier said than done 😏,,
,7.44919E+18,,Mine is mostly health anxiety I have symptoms all day everyday,,
,7.44171E+18,,"When your arms and face go completely numb. Can’t breathe, and you’re heart is about to explode it’s kinda hard to just brush it off😣",,
,7.44158E+18,,So all I need to do is to ignore?,,
,7.44197E+18,,"acknowledge it, don't give it power. say thanks anxiety, but I don't need you right now.",,
,7.44169E+18,,anxiety isnt caused by thinking of the future but by wanting to control it,,
,7.44448E+18,,sometimes last all day though it's not that easy so what do you do,,
,7.44378E+18,,my brain makes random symptoms when I have bad anxiety it's terrifying,,
,7.44139E+18,,is the overthinking that kills me,,
,7.44159E+18,,Thank you so very much for sharing. I Live with Anxiety everyday. The worst fear is me driving,,
,7.41404E+18,,this is such a compassionate response❤️,,
,7.4184E+18,,The opposite to addiction isn’t sobriety… it’s connection.,,
,7.41395E+18,,Perspective is everything ❤️,,
,7.41824E+18,,So true - shame is such a paralyzer,,
,7.42559E+18,,Thanks!,,
,7.414E+18,,this just healed something in my soul ❤️,,
,7.42559E+18,,Thank you!,,
,7.41844E+18,,I read a quote that really impacted me when I went through this - “addiction is nothing but unresolved grief”,,
,7.42559E+18,,"Love this, thanks for sharing.",,
,7.41839E+18,,You are a good human Sir 🫡,,
,7.49447E+18,,Dr Shepard can you please explain why it is important to accept mental illness. I really need an expert opinion to help our community.,,
,7.49365E+18,,Thank you this makes sense. I just didn’t think to ask during the appointment. I still have to go back up,,
